DOLNOŚLĄSKI URZĄD SKARBOWY WE WROCŁAWIU|ŻMIGRODZKA|WROCŁAW|141|51-130|
Drugi Mazowiecki Urząd Skarbowy|STAWKI|WARSZAWA|2|00-193|1472
Pierwszy Urząd Skarbowy w Szczecinie|Michała Drzymały|Szczecin|5|70-217|us3215
Pierwszy Urząd Skarbowy Warszawa-Śródmieście|LINDLEYA|WARSZAWA|14|02-013|us1435
Pierwszy Urząd Skarbowy we Wrocławiu |Ks. Czesława Klimasa|Wrocław|34|50-515|229
URZĄD SKARBOWY W GRYFICACH|NIEPODLEGŁOŚCI |GRYFICE|51A|73-300|
Urząd Skarbowy w Jaworze|Gagarina|JAWOR|5|59-400|206
URZĄD SKARBOWY W KAMIENNEJ GÓRZE|Papieża Jana Pawła II|Kamienna Góra|18|58-400|us0208
URZĄD SKARBOWY W LUBANIU|STARA|LUBAŃ|1|59-800|211
Urząd Skarbowy w Lubinie| Marii Skłodowskiej-Curie|Lubin|94|59-300|us0212
Urząd Skarbowy w Lwówku Śląskim|Budowlanych|LWÓWEK ŚLĄSKI|1|59-600|213
URZĄD SKARBOWY W PRUSZCZU GDAŃSKIM|IGNACEGO ŁUKASIEWICZA|PRUSZCZ GDAŃSKI|2|83-000|2221
Urząd Skarbowy w Skarżysku-Kamiennej|1 MAJA|Skarżysko-Kamienna|56|26-110|2611
URZĄD SKARBOWY W WAŁBRZYCHU|UCZNIOWSKA|WAŁBRZYCH|21|58-306|222
URZĄD SKARBOWY W ZŁOTORYI|RYNEK|ZŁOTORYJA|42|59-500|
URZĄD SKARBOWY WARSZAWA-URSYNÓW|WYNALAZEK |WARSZAWA|3|02-677|
URZĄD SKARBOWY WROCŁAW -  ŚRÓDMIEŚCIE |Marszałka Józefa Piłsudskiego|WROCŁAW|27-29|50-044|
Urząd Skarbowy Wrocław Stare Miasto|Inowrocławska|Wrocław|4|53-654|US0227
Urząd Skarbowy Wrocław-Fabryczna|Ostrowskiego|WROCŁAW|5|53-238|
URZĄD SKARBOWY WROCŁAW-KRZYKI|SZTABOWA|WROCŁAW|100|53-310|us0225
URZĄD SKARBOWY W ZGORZELCU|Bohaterów II Armii Wojska Polskiego |ZGORZELEC|8B|59-900|
Urząd Skarbowy Łódź - Polesie|6 Sierpnia|ŁÓDŹ|84/86|90-646|1012
URZĄD SKARBOWY W JELENIEJ GÓRZE|THEBESIUSA|JELENIA GÓRA|1|58-506|207
NACZELNIK PIERWSZEGO URZĘDU SKARBOWEGO WARSZAWA ŚRÓDMIEŚCIE|ŚWIĘTOKRZYSKA|WARSZAWA|30/63|00-116|1435
